id;causale;destinatario;importo;data_esecuzione;iban_destinatario
1;navigate Consultant;Pants JSON;73370;2022-02-21;visionary
2;Iowa withdrawal Function-based;inputXXXXX;98845;2022-02-20;copy Samoa Awesome
3;Planner calculating;Bedfordshire strategic;97548;2022-02-21;Falls Iowa payment
4;Tasty incentivize;FTP intuitive;11067;2022-02-20;explicit Brand
5;Pants concept generate;hack San auxiliary;13088;2022-02-21;New pink Island
6;monitor;Handcrafted analyzer Niger;1972;2022-02-21;USB Frozen
7;Camp Principal deposit;Consultant Swaziland;33861;2022-02-21;solid
8;Tasty deposit program;brandXXXXX;7676;2022-02-20;transmit Garden compressing
9;Granite Soft;GroupXXXXX;74023;2022-02-20;data-warehouse bypassing
10;Taiwan back-end;Village GB green;48792;2022-02-20;Rhode RSS Open-source
